Date Reported,App Version,Feature,URL,Bug,Steps to Reproduce,Expected Result,Status,Priority,Comments / Notes
Onboarding,,,,,,,,,
5/21/25,1,Onboarding Progress Bar,/onboarding,Slight blue color showing when progress bar is at 0%,Login as new user,Empty progress bar whejn at 0%,Done,Low,
5/21/25,1,Onboarding Progress Bar,/onboarding,Progress bar percentage sometimes uses decimal points.,Complete username page of onboarding,The percentage should show 16%,Done,Low,The progress bar percentage should never show decimals. Step 1 completed = 16%. Step 2 completed = 33%. Step 3 completed = 50%. Step 4 completed = 66%. Step 5 completed = 83%. Step 6 completed = 100%.   
5/21/25,1,Onboarding Discord link,/onboarding,Current link is expired,get to step 5 of onboarding quiz,Invite link should never expire,,Low,Use this link: 
Nav Bar,,,,,,,,,
5/21/25,1,Career App Nav Bar,,The Ascentul logo folds out a bit funny when the nav bar is uncollapsed,,,Done,Medium,
5/21/25,1,Career App Nav Bar,,If a feature dropdown menu is opened and then the nav bar is collapsed the dropdown stays open after the nav bar is collapsed ,Click a drop down in the nav bar (EX: Job search) then collapse the nav bar,"When the nav bar is collapsed, it should close the dropdown fluidly. ",Done,Low,
5/24/25,1,Career App Nav Bar,,"The hover effect on the buttons in the lower section of the nav bar has uneven padding, the padding on the left side is correct but the element goes too far to the right. ",,,Done,Medium,
5/24/25,1,Career App Nav Bar - notifications button,,"The notifications button feature has not been configured, and needs work",,,In progress,,
5/24/25,1,Career App Nav Bar - support button,,Support button: Ensure that support tickest created by the support button form are routed to the suer admin portal and saved in the Support feature so the super admin can address issues.,,,In progress,,This feature should also be able to send the user an email letting them know we recived their support ticket
5/21/25,1,Career App Nav Bar,,"When the nav bar is in collapsed mode, and you click a dropdown, and then a feature in the dropdown, the dropdown remains open after you have been navigated to the next page","Collapse the nav bar, click on a dropdown, click on a feature within the dropdown.","When in collapsed mode, and a feature within the dropdown of a nav dropdown is clicked and navigates the user to a new page, the dropdown should be closed as the user is brought to the new page. ",Not started,Medium,
Dashboard,,,,,,,,,
5/21/25,1,Next Interview stat card,/career-dashboard,Next Interview stat card when clickd leads to a 404,click on next interview stat card,"If an interview is scheduled, the stat card should become clickable, and it should open up the details page for that interview. ",Not started,Low,
5/21/25,1,Active Goals stat card,/career-dashboard,Active Goals stat card is not clickable,,"If a career goal exists, the stat card should become clickable, and it should open up the career goal tracker feature tab",Not started,Low,
5/21/25,1,Active applications stat card,/career-dashboard,Active applications stat card when clickd leads to a 404,,"If an active application exists, the stat card should become clickable, and it should open up the active applications (main page) of the application tracker. ",Not started,Low,
5/21/25,1,Dashbaord page url,/career-dashboard,seeing both /dashboard & /career-dashboard in url at different times,,,Not started,Medium,not sure which route is meant to be used
5/21/25,1,Quick Actions pop up element ,/career-dashboard,"Add work history button should be replaced with ""Update Career Profile""",Click on Quick Actions button,"""Update Career Profile"" button leads the user to the career tab of the Account Settings page",Done,Low,
